symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"MM","Afnedmg7Xk7HP2gJzjNYLzpbYLMm4Z8crSyBezFVpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.327e-7","","","","","","2026-07-11T14:34:16.438Z",""
"Ansbull","DhNrTMbZHQsZnJSQLZsVU9ak872GnyXb2aFXvrVNpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001183","","","","","","2026-07-11T14:34:46.451Z",""
"SUCK","EFJJA3ddsW53cCyBZubzKDL2eVjJtP9fTveYYTBepump","61","2.71604938","","","","","","","0","0","-2.3","907","2.71604938","0","0","0","0","2248.25","3","2262.84","2262.84","0.571","0.571","-13.78","","0","0","1","0","","","","","","","0.000002248","0.000002248","","","","","","2026-07-11T14:35:10.715Z","2026-07-11T14:36:09.662Z","","","","",""
"20 SOL","DM7YSRpeZCkwypS3CNnJpB8A7w5dESdEHRfLaWGfpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.006e-7","","","","","","2026-07-11T14:35:28.812Z",""
"Wifout","Fo9qv11TQnzBshzpBw46GayzN6xeA72YmyyoyFyrpump","63","2.962962961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002837","","","","","","","2026-07-11T14:35:29.288Z","","","","","",""
"sol","5HRPWMS7api4fX5pVqWUzR1PBxqs9NHSpEjJrxt6pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.069e-7","","","","","","2026-07-11T14:35:52.440Z",""
"BROKECAT","HDenRzGgzCTfmH7LRXPKXZdcK9RqFvzurjxvxsyepump","67","3.950617282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002195","","","","","","","2026-07-11T14:36:34.407Z","","","","","",""
"KUN","EKCj2VgeQ4zQDfsXf672gZw9vMYp8vTzJDgRaXkDpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.813e-7","","","","","","2026-07-11T14:36:40.407Z",""
"at","4ikdKuUSuwXmEudr3BmqU7GZ2KFR3p8S41qwEeqVpump","63","0.350000001","","","","","","","922.8","108","-0.2","908","0.350000001","0","2","1","0","11380.48","3","1674.62","1674.62","0.614","0.614","406","","0","0","1","0","","","","","","","0.000008363","0.00001138","","","","","","2026-07-11T14:37:04.414Z","2026-07-11T14:38:15.873Z","","","","",""
"testicle","FgZu482C7JoTjLKbTufpS4yk5WWBjbSWwzGpguXHpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.995e-7","","","","","","2026-07-11T14:37:28.432Z",""
"WOOF","FMsSokab9bMKYSAmMp2JkUj3mAcmBemu6PnDaQxZpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.837e-7","","","","","","2026-07-11T14:39:27.822Z",""
"KINS","55zbM1WofdUK4E2yroY4bGTAXNbfimBqtcccY4Awpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.987e-7","","","","","","2026-07-11T14:39:28.845Z",""
"DOGWIFHOOD","GdrLvHX26M5LmYZy7MD3ck3p2ttGYKJqyymYjDkRpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.567e-8","","","","","","2026-07-11T14:39:46.451Z",""
"Launch","99cpcYWv57xYK884E3bMZSYr4NGAHNLq91eHWBfhpump","61","2.71604938","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000224","","","","","","","2026-07-11T14:40:22.864Z","","","","","",""
"world","AjN993e6CHT1sTTKx3fBXDsrpec4RRY3htCSH94bpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000109","","","","","","2026-07-11T14:40:23.432Z",""
"HOLD","HoLDfh7PbV8a3ViVBgCy5RBpVrMz4jWxVwYFBwWVA79h","67","4","","131.989","","","","","57.2","50","-15.1","910","4","0","0","0","0","2820.15","3","314.12","314.12","1","1","0","","0","0","1","0","37.5886524822695","","","","","","0.000003157","0.00000282","","","0.00000388","","","2026-07-11T14:40:45.613Z","2026-07-11T14:40:33.615Z","","","2026-07-11T14:42:45.604Z","",""
"at","76Pr7nqcHbWkvjhhFdDwAAWm7qNC1gJwAns49D41pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.657e-7","","","","","","2026-07-11T14:40:46.411Z",""
"IMAM","7ABFUCsW1QgYZfy58kwNm7cmWam1fxG3YdPbv3Stpump","73","7.6","","","","","","","0","0","-2.6","910","7.6","0","1","0","0","2255.14","3","1225.42","1225.42","0.75","0.75","-34.72","","0","0","1","0","","","","","","","0.000002255","0.000002255","","","","","","2026-07-11T14:40:52.485Z","2026-07-11T14:42:03.668Z","","","","",""
"DICKBUTT","EV2hxHK7Dd3WM4qfWSgR2zABCad9Tz5eSfM57Rippump","62","0.1","","","","","","","0","0","0","912","0.1","0","1","1","0","1480.96","3","33.82","33.82","0.625","0.625","-33.07","","0","0","1","0","","","","","","","0.00000148","0.00000148","","","","","","2026-07-11T14:41:10.902Z","2026-07-11T14:42:21.613Z","","","","",""
"ANSEM","2QeWFySWoLvBv1PbDbLFxdF6DXnBXV7pGWg8tJiRpump","70","0.395061727","","","","","","","0","0","0","904","0.395061727","0","0","1","0","7972.13","4","259.28","259.28","0.667","0.667","253","","0","0","1","0","","","","","","","0.000007974","0.000007972","","","","","","2026-07-11T14:41:11.307Z","2026-07-11T14:43:09.858Z","","","","",""
