symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"culeb","AqpZ9GAE6TbM9Hu9quipqXJHYYFiHXvb1FwGGiMApump","70","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003046","","","","","","","2026-07-21T17:30:44.036Z","","","","","",""
"BBS","6L6JMvFNyyYTM8H7SM8emWZFTqv5X8FJVkr6deUxpump","88","29.629629628","auto","","77.881","","","","105.9","68","-95.4","105.9","0","488","29.629629628","0","2","0","0","0","16321.16","3","4101.31","4101.31","0.986","0.986","89.82","","0","0","1","0","1","","","","","","","0.00001138","0.00001632","0.00001632","","","","","2026-07-21T17:30:49.968Z","2026-07-21T17:31:49.856Z","2026-07-21T17:33:07.737Z","","","",""
"tiny","5bZ5M1sDGgt12cmQzoHqSVV6fENwMsNSPrTy9AAgpump","71","5.2","","","","","","","24.9","564","-15","7.1","16.7","904","5.2","0","0","0","0","0","3273.05","3","528.56","528.56","1","1","9.24","","0","0","1","0","0","","","","","","","0.000003273","0.000003273","","","","","","2026-07-21T17:30:50.135Z","2026-07-21T17:31:13.780Z","","","","",""
"w&o","HkSGSWNSQkogsroasemcTp9J7Vbg5SvoPXu6KkYnpump","64","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002348","","","","","","","2026-07-21T17:31:02.035Z","","","","","",""
"TWGP","ESnik9zzdBbKHc3vcxUVGncog7r1Y45fS1TV1EFwpump","61","0.197530863","","","","","","","0","0","0","0","0","906","0.197530863","3","38","1","0","0","6347.38","3","768.43","768.43","0.581","0.581","188","","0","0","1","0","0","","","","","","","0.0000037","0.000006347","","","","","","2026-07-21T17:31:02.101Z","2026-07-21T17:32:01.786Z","","","","",""
"graph","CtkD7sn6Bb5JCReSm64UYSJbFjaFuDNyUvCb5fdupump","63","2.962962961","","60.271","","","","","0","0","-29.8","-30.7","2.6","906","2.962962961","0","0","0","0","0","3283.52","3","533.14","533.14","1","1","24.97","","0","0","1","0","0","-30.673164788303385","","","","","","0.000003279","0.000003283","","","0.000002276","","","2026-07-21T17:31:02.140Z","2026-07-21T17:32:01.911Z","","","2026-07-21T17:33:02.182Z","",""
"NiggaBull","7CdniqNSZsnQ7WxVqAt8FepPNfzVfAiV4dji98ubpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.104e-7","","","","","","2026-07-21T17:31:08.018Z",""
"DVI","GrRNTWP7PSL2YwynYrbeLSL1a16i6oYJxi8W4368pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001046","","","","","","2026-07-21T17:31:55.941Z",""
"d","B8NvcsCqzFusH9WnJSdVQrBuwwSSNptdCWavYrtZpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.83e-7","","","","","","2026-07-21T17:32:02.195Z",""
"JIMBERLY","12aV3ZvmqjLhB3KAdtQoL5Fvh5y8ap62DFQeZ3XRpump","64","3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002285","","","","","","","2026-07-21T17:32:08.017Z","","","","","",""
