symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"GYATTBERG","yy7cVJeMyBka8xgGQYhHAtstPm9HUqbA9fWEX24pump","71","2.962962961","","","","","","","","","","","","","0.000002297","","","","","","","2026-07-04T17:21:33.596Z","","","","","",""
"Jarhead","4syhcx8iB9cRynnGtyhoRmjXzNfUVirCtWHhum2Tpump","71","3","","","","","","","","","","","","","0.000002405","0.000002405","","","","","","2026-07-04T17:21:57.584Z","2026-07-04T17:23:02.761Z","","","","",""
"jar","5vXLxQE4rLVbLtnPutBRcpoVV93xHczCUugLoP8rpump","71","2.962962961","","","","","","","","","","","","","0.000002354","","","","","","","2026-07-04T17:22:21.596Z","","","","","",""
"VIBE","4WjjFPGepgSKNXzkTNJzkzbB6eBjdF2PLt5qFqo5pump","96","31.550000001","","","","","","","","","","","","","0.00001964","","","","0.00001651","","0.000002492","2026-07-04T17:22:27.657Z","","","","2026-07-04T17:23:02.971Z","2026-07-04T17:24:26.990Z",""
"VIBE","3c3381gUvEkA7Q5gJnD7QZtiGZoNzCsFESDUCJGgpump","","","","","","","","","","","","","","","","","","","","","0.000002303","","","","","","2026-07-04T17:22:51.553Z",""
"buffdoge","2YYquLSQUyz8RYqDZ2BX9T12cZtr2iN6GKLYuN3Apump","95","23.703703702","","","","","","","","","","","","","0.000007369","0.000007431","","","","","","2026-07-04T17:23:27.594Z","2026-07-04T17:24:32.764Z","","","","",""
"DYSLEXIATUTOR","2eNZbxYXw9RDpvxjouFdahvEEtv7BLrJ7wmcEeQhpump","79","5","","","","","","","","","","","","","0.000003671","","","","0.000003421","","","2026-07-04T17:24:03.620Z","","","","2026-07-04T17:24:38.996Z","",""
"VIBE","9PS667pXCXUp8paJwRDa9GRdw9MDKmrT1E2sN3Bmpump","80","8","","","","","","","","","","","","","0.000002307","","","","0.000002307","","","2026-07-04T17:24:09.563Z","","","","2026-07-04T17:24:38.834Z","",""
"Red Bull","EQkD46aEhaeLioqhJCHPqQZHCARNeESLgBYgLQsQpump","","","","","","","","","","","","","","","","","","","","","4.255e-7","","","","","","2026-07-04T17:24:27.569Z",""
"EAGLE","6TPBokBBkd2QZN3p4GLzWXuBKsXirNCYq3mBgKdvpump","71","3","","","","","","","","","","","","","0.000002309","","","","0.000002309","","","2026-07-04T17:25:21.638Z","","","","2026-07-04T17:25:38.758Z","",""
"katz5","827e6Hpkz4T3Jzy8m5VdLtR3wGCdzg3raNxwPYMJpump","68","2.469135801","","","","","","","","","","","","","0.000002901","","","","0.000002901","","","2026-07-04T17:26:03.604Z","","","","2026-07-04T17:26:20.769Z","",""
